market_title,city,target_date,strike_type,market_low_temp,market_high_temp,market_single_strike,yes_bid,no_bid,state_collected_at,actual_high_temperature,actual_low_temperature,market_result
"Will the **high temp in Philadelphia** be 85-86° on Jul 16, 2025?",Philadelphia,2025-07-16,between,85,86,,2.00,96.00,2025-07-15 21:01:37,93,76,NO
"Will the **high temp in Philadelphia** be 87-88° on Jul 16, 2025?",Philadelphia,2025-07-16,between,87,88,,17.00,80.00,2025-07-15 21:01:37,93,76,NO
"Will the **high temp in Philadelphia** be 89-90° on Jul 16, 2025?",Philadelphia,2025-07-16,between,89,90,,35.00,61.00,2025-07-15 21:01:37,93,76,NO
"Will the **high temp in Philadelphia** be 91-92° on Jul 16, 2025?",Philadelphia,2025-07-16,between,91,92,,30.00,69.00,2025-07-15 21:01:37,93,76,NO
"Will the **high temp in Austin** be <90° on Jul 15, 2025?",Austin,2025-07-15,less,,90,,0.00,86.00,2025-07-14 21:02:12,93,74,NO
"Will the **high temp in Austin** be >97° on Jul 15, 2025?",Austin,2025-07-15,greater,,97,,1.00,89.00,2025-07-14 21:02:12,93,74,NO
"Will the **high temp in Austin** be 90-91° on Jul 15, 2025?",Austin,2025-07-15,between,90,91,,3.00,83.00,2025-07-14 21:02:12,93,74,NO
"Will the **high temp in Austin** be 92-93° on Jul 15, 2025?",Austin,2025-07-15,between,92,93,,30.00,56.00,2025-07-14 21:02:12,93,74,YES
"Will the **high temp in Austin** be 94-95° on Jul 15, 2025?",Austin,2025-07-15,between,94,95,,40.00,51.00,2025-07-14 21:02:12,93,74,NO
"Will the **high temp in Austin** be 96-97° on Jul 15, 2025?",Austin,2025-07-15,between,96,97,,9.00,80.00,2025-07-14 21:02:12,93,74,NO
"Will the high temp in Chicago be <88° on Jul 15, 2025?",Chicago,2025-07-15,less,,88,,4.00,92.00,2025-07-14 21:02:14,91,70,NO
"Will the high temp in Chicago be >95° on Jul 15, 2025?",Chicago,2025-07-15,greater,,95,,0.00,95.00,2025-07-14 21:02:14,91,70,NO
"Will the high temp in Chicago be 88-89° on Jul 15, 2025?",Chicago,2025-07-15,between,88,89,,19.00,76.00,2025-07-14 21:02:14,91,70,NO
"Will the high temp in Chicago be 90-91° on Jul 15, 2025?",Chicago,2025-07-15,between,90,91,,37.00,59.00,2025-07-14 21:02:14,91,70,YES
"Will the high temp in Chicago be 92-93° on Jul 15, 2025?",Chicago,2025-07-15,between,92,93,,22.00,72.00,2025-07-14 21:02:14,91,70,NO
"Will the high temp in Chicago be 94-95° on Jul 15, 2025?",Chicago,2025-07-15,between,94,95,,4.00,90.00,2025-07-14 21:02:14,91,70,NO
"Will the **high temp in Denver** be <91° on Jul 15, 2025?",Denver,2025-07-15,less,,91,,0.00,90.00,2025-07-14 21:02:09,95,65,NO
"Will the **high temp in Denver** be >98° on Jul 15, 2025?",Denver,2025-07-15,greater,,98,,2.00,82.00,2025-07-14 21:02:09,95,65,NO
"Will the **high temp in Denver** be 91-92° on Jul 15, 2025?",Denver,2025-07-15,between,91,92,,1.00,84.00,2025-07-14 21:02:09,95,65,NO
"Will the **high temp in Denver** be 93-94° on Jul 15, 2025?",Denver,2025-07-15,between,93,94,,31.00,56.00,2025-07-14 21:02:09,95,65,NO
"Will the **high temp in Denver** be 95-96° on Jul 15, 2025?",Denver,2025-07-15,between,95,96,,35.00,57.00,2025-07-14 21:02:09,95,65,YES
"Will the **high temp in Denver** be 97-98° on Jul 15, 2025?",Denver,2025-07-15,between,97,98,,12.00,74.00,2025-07-14 21:02:09,95,65,NO
"Will the **high temp in LA** be <67° on Jul 15, 2025?",Los Angeles,2025-07-15,less,,67,,0.00,99.00,2025-07-14 21:02:10,74,63,NO
"Will the **high temp in LA** be >74° on Jul 15, 2025?",Los Angeles,2025-07-15,greater,,74,,1.00,90.00,2025-07-14 21:02:10,74,63,NO
"Will the **high temp in LA** be 67-68° on Jul 15, 2025?",Los Angeles,2025-07-15,between,67,68,,0.00,99.00,2025-07-14 21:02:10,74,63,NO
"Will the **high temp in LA** be 69-70° on Jul 15, 2025?",Los Angeles,2025-07-15,between,69,70,,21.00,56.00,2025-07-14 21:02:10,74,63,NO
"Will the **high temp in LA** be 71-72° on Jul 15, 2025?",Los Angeles,2025-07-15,between,71,72,,16.00,65.00,2025-07-14 21:02:10,74,63,NO
"Will the **high temp in LA** be 73-74° on Jul 15, 2025?",Los Angeles,2025-07-15,between,73,74,,24.00,52.00,2025-07-14 21:02:10,74,63,YES
"Will the **high temp in Miami** be <80° on Jul 15, 2025?",Miami,2025-07-15,less,,80,,0.00,99.00,2025-07-14 21:02:12,88,75,NO
"Will the **high temp in Miami** be >87° on Jul 15, 2025?",Miami,2025-07-15,greater,,87,,9.00,86.00,2025-07-14 21:02:12,88,75,NO
"Will the **high temp in Miami** be 80-81° on Jul 15, 2025?",Miami,2025-07-15,between,80,81,,1.00,92.00,2025-07-14 21:02:12,88,75,NO
"Will the **high temp in Miami** be 82-83° on Jul 15, 2025?",Miami,2025-07-15,between,82,83,,13.00,83.00,2025-07-14 21:02:12,88,75,NO
"Will the **high temp in Miami** be 84-85° on Jul 15, 2025?",Miami,2025-07-15,between,84,85,,46.00,52.00,2025-07-14 21:02:12,88,75,NO
"Will the **high temp in Miami** be 86-87° on Jul 15, 2025?",Miami,2025-07-15,between,86,87,,24.00,72.00,2025-07-14 21:02:12,88,75,NO
"Will the **high temp in NYC** be <82° on Jul 15, 2025?",New York,2025-07-15,less,,82,,1.00,88.00,2025-07-14 21:02:11,86,72,NO
"Will the **high temp in NYC** be >89° on Jul 15, 2025?",New York,2025-07-15,greater,,89,,2.00,91.00,2025-07-14 21:02:11,86,72,NO
"Will the **high temp in NYC** be 82-83° on Jul 15, 2025?",New York,2025-07-15,between,82,83,,12.00,81.00,2025-07-14 21:02:11,86,72,NO
"Will the **high temp in NYC** be 84-85° on Jul 15, 2025?",New York,2025-07-15,between,84,85,,35.00,57.00,2025-07-14 21:02:11,86,72,NO
"Will the **high temp in NYC** be 86-87° on Jul 15, 2025?",New York,2025-07-15,between,86,87,,40.00,56.00,2025-07-14 21:02:11,86,72,YES
"Will the **high temp in NYC** be 88-89° on Jul 15, 2025?",New York,2025-07-15,between,88,89,,16.00,79.00,2025-07-14 21:02:11,86,72,NO
"Will the **high temp in Philadelphia** be <83° on Jul 15, 2025?",Philadelphia,2025-07-15,less,,83,,0.00,99.00,2025-07-14 21:02:13,90,75,NO
"Will the **high temp in Philadelphia** be >90° on Jul 15, 2025?",Philadelphia,2025-07-15,greater,,90,,27.00,47.00,2025-07-14 21:02:13,90,75,NO
"Will the **high temp in Philadelphia** be 83-84° on Jul 15, 2025?",Philadelphia,2025-07-15,between,83,84,,0.00,94.00,2025-07-14 21:02:13,90,75,NO
"Will the **high temp in Philadelphia** be 85-86° on Jul 15, 2025?",Philadelphia,2025-07-15,between,85,86,,2.00,93.00,2025-07-14 21:02:13,90,75,NO
"Will the **high temp in Philadelphia** be 87-88° on Jul 15, 2025?",Philadelphia,2025-07-15,between,87,88,,8.00,81.00,2025-07-14 21:02:13,90,75,NO
"Will the **high temp in Philadelphia** be 89-90° on Jul 15, 2025?",Philadelphia,2025-07-15,between,89,90,,17.00,52.00,2025-07-14 21:02:13,90,75,YES
"Will the **high temp in Austin** be <87° on Jul 14, 2025?",Austin,2025-07-14,less,,87,,1.00,94.00,2025-07-13 21:01:58,93,72,NO
"Will the **high temp in Austin** be >94° on Jul 14, 2025?",Austin,2025-07-14,greater,,94,,2.00,94.00,2025-07-13 21:01:58,93,72,NO
"Will the **high temp in Austin** be 87-88° on Jul 14, 2025?",Austin,2025-07-14,between,87,88,,3.00,93.00,2025-07-13 21:01:58,93,72,NO
"Will the **high temp in Austin** be 89-90° on Jul 14, 2025?",Austin,2025-07-14,between,89,90,,22.00,56.00,2025-07-13 21:01:58,93,72,NO
"Will the **high temp in Austin** be 91-92° on Jul 14, 2025?",Austin,2025-07-14,between,91,92,,36.00,58.00,2025-07-13 21:01:58,93,72,NO
"Will the **high temp in Austin** be 93-94° on Jul 14, 2025?",Austin,2025-07-14,between,93,94,,16.00,67.00,2025-07-13 21:01:58,93,72,YES
"Will the high temp in Chicago be <86° on Jul 14, 2025?",Chicago,2025-07-14,less,,86,,3.00,80.00,2025-07-13 21:02:00,87,66,NO
"Will the high temp in Chicago be >93° on Jul 14, 2025?",Chicago,2025-07-14,greater,,93,,1.00,94.00,2025-07-13 21:02:00,87,66,NO
"Will the high temp in Chicago be 86-87° on Jul 14, 2025?",Chicago,2025-07-14,between,86,87,,23.00,57.00,2025-07-13 21:02:00,87,66,YES
"Will the high temp in Chicago be 88-89° on Jul 14, 2025?",Chicago,2025-07-14,between,88,89,,23.00,56.00,2025-07-13 21:02:00,87,66,NO
"Will the high temp in Chicago be 90-91° on Jul 14, 2025?",Chicago,2025-07-14,between,90,91,,33.00,53.00,2025-07-13 21:02:00,87,66,NO
"Will the high temp in Chicago be 92-93° on Jul 14, 2025?",Chicago,2025-07-14,between,92,93,,6.00,91.00,2025-07-13 21:02:00,87,66,NO
"Will the **high temp in Denver** be <92° on Jul 14, 2025?",Denver,2025-07-14,less,,92,,1.00,94.00,2025-07-13 21:01:56,94,68,NO
"Will the **high temp in Denver** be >99° on Jul 14, 2025?",Denver,2025-07-14,greater,,99,,2.00,96.00,2025-07-13 21:01:56,94,68,NO
"Will the **high temp in Denver** be 92-93° on Jul 14, 2025?",Denver,2025-07-14,between,92,93,,13.00,83.00,2025-07-13 21:01:56,94,68,NO
"Will the **high temp in Denver** be 94-95° on Jul 14, 2025?",Denver,2025-07-14,between,94,95,,39.00,60.00,2025-07-13 21:01:56,94,68,YES
"Will the **high temp in Denver** be 96-97° on Jul 14, 2025?",Denver,2025-07-14,between,96,97,,30.00,65.00,2025-07-13 21:01:56,94,68,NO
"Will the **high temp in Denver** be 98-99° on Jul 14, 2025?",Denver,2025-07-14,between,98,99,,8.00,87.00,2025-07-13 21:01:56,94,68,NO
"Will the **high temp in LA** be <67° on Jul 14, 2025?",Los Angeles,2025-07-14,less,,67,,1.00,98.00,2025-07-13 21:01:57,70,60,NO
"Will the **high temp in LA** be >74° on Jul 14, 2025?",Los Angeles,2025-07-14,greater,,74,,3.00,92.00,2025-07-13 21:01:57,70,60,NO
"Will the **high temp in LA** be 67-68° on Jul 14, 2025?",Los Angeles,2025-07-14,between,67,68,,1.00,97.00,2025-07-13 21:01:57,70,60,NO
"Will the **high temp in LA** be 69-70° on Jul 14, 2025?",Los Angeles,2025-07-14,between,69,70,,24.00,71.00,2025-07-13 21:01:57,70,60,YES
"Will the **high temp in LA** be 71-72° on Jul 14, 2025?",Los Angeles,2025-07-14,between,71,72,,45.00,50.00,2025-07-13 21:01:57,70,60,NO
"Will the **high temp in LA** be 73-74° on Jul 14, 2025?",Los Angeles,2025-07-14,between,73,74,,21.00,74.00,2025-07-13 21:01:57,70,60,NO
"Will the **high temp in Miami** be <83° on Jul 14, 2025?",Miami,2025-07-14,less,,83,,1.00,95.00,2025-07-13 21:01:59,91,74,NO
"Will the **high temp in Miami** be >90° on Jul 14, 2025?",Miami,2025-07-14,greater,,90,,3.00,96.00,2025-07-13 21:01:59,91,74,NO
"Will the **high temp in Miami** be 83-84° on Jul 14, 2025?",Miami,2025-07-14,between,83,84,,6.00,92.00,2025-07-13 21:01:59,91,74,NO
"Will the **high temp in Miami** be 85-86° on Jul 14, 2025?",Miami,2025-07-14,between,85,86,,36.00,60.00,2025-07-13 21:01:59,91,74,NO
"Will the **high temp in Miami** be 87-88° on Jul 14, 2025?",Miami,2025-07-14,between,87,88,,38.00,56.00,2025-07-13 21:01:59,91,74,NO
"Will the **high temp in Miami** be 89-90° on Jul 14, 2025?",Miami,2025-07-14,between,89,90,,13.00,84.00,2025-07-13 21:01:59,91,74,NO
"Will the **high temp in NYC** be <82° on Jul 14, 2025?",New York,2025-07-14,less,,82,,2.00,95.00,2025-07-13 21:01:57,85,73,NO
"Will the **high temp in NYC** be >89° on Jul 14, 2025?",New York,2025-07-14,greater,,89,,1.00,96.00,2025-07-13 21:01:57,85,73,NO
"Will the **high temp in NYC** be 82-83° on Jul 14, 2025?",New York,2025-07-14,between,82,83,,43.00,55.00,2025-07-13 21:01:57,85,73,NO
"Will the **high temp in NYC** be 84-85° on Jul 14, 2025?",New York,2025-07-14,between,84,85,,37.00,55.00,2025-07-13 21:01:57,85,73,YES
"Will the **high temp in NYC** be 86-87° on Jul 14, 2025?",New York,2025-07-14,between,86,87,,8.00,86.00,2025-07-13 21:01:57,85,73,NO
"Will the **high temp in NYC** be 88-89° on Jul 14, 2025?",New York,2025-07-14,between,88,89,,1.00,94.00,2025-07-13 21:01:57,85,73,NO
"Will the **high temp in Philadelphia** be <83° on Jul 14, 2025?",Philadelphia,2025-07-14,less,,83,,1.00,95.00,2025-07-13 21:01:59,91,76,NO
"Will the **high temp in Philadelphia** be >90° on Jul 14, 2025?",Philadelphia,2025-07-14,greater,,90,,9.00,86.00,2025-07-13 21:01:59,91,76,NO
"Will the **high temp in Philadelphia** be 83-84° on Jul 14, 2025?",Philadelphia,2025-07-14,between,83,84,,2.00,82.00,2025-07-13 21:01:59,91,76,NO
"Will the **high temp in Philadelphia** be 85-86° on Jul 14, 2025?",Philadelphia,2025-07-14,between,85,86,,11.00,62.00,2025-07-13 21:01:59,91,76,NO
"Will the **high temp in Philadelphia** be 87-88° on Jul 14, 2025?",Philadelphia,2025-07-14,between,87,88,,23.00,47.00,2025-07-13 21:01:59,91,76,NO
"Will the **high temp in Philadelphia** be 89-90° on Jul 14, 2025?",Philadelphia,2025-07-14,between,89,90,,31.00,66.00,2025-07-13 21:01:59,91,76,NO
"Will the **high temp in Austin** be <87° on Jul 13, 2025?",Austin,2025-07-13,less,,87,,0.00,99.00,2025-07-12 21:01:32,90,72,NO
"Will the **high temp in Austin** be >94° on Jul 13, 2025?",Austin,2025-07-13,greater,,94,,10.00,69.00,2025-07-12 21:01:32,90,72,NO
"Will the **high temp in Austin** be 87-88° on Jul 13, 2025?",Austin,2025-07-13,between,87,88,,0.00,90.00,2025-07-12 21:01:32,90,72,NO
"Will the **high temp in Austin** be 89-90° on Jul 13, 2025?",Austin,2025-07-13,between,89,90,,15.00,83.00,2025-07-12 21:01:32,90,72,YES
"Will the **high temp in Austin** be 91-92° on Jul 13, 2025?",Austin,2025-07-13,between,91,92,,26.00,63.00,2025-07-12 21:01:32,90,72,NO
"Will the **high temp in Austin** be 93-94° on Jul 13, 2025?",Austin,2025-07-13,between,93,94,,35.00,58.00,2025-07-12 21:01:32,90,72,NO
"Will the high temp in Chicago be <83° on Jul 13, 2025?",Chicago,2025-07-13,less,,83,,4.00,93.00,2025-07-12 21:01:34,83,67,NO
"Will the high temp in Chicago be >90° on Jul 13, 2025?",Chicago,2025-07-13,greater,,90,,1.00,96.00,2025-07-12 21:01:34,83,67,NO
"Will the high temp in Chicago be 83-84° on Jul 13, 2025?",Chicago,2025-07-13,between,83,84,,19.00,75.00,2025-07-12 21:01:34,83,67,YES
"Will the high temp in Chicago be 85-86° on Jul 13, 2025?",Chicago,2025-07-13,between,85,86,,36.00,59.00,2025-07-12 21:01:34,83,67,NO
"Will the high temp in Chicago be 87-88° on Jul 13, 2025?",Chicago,2025-07-13,between,87,88,,24.00,71.00,2025-07-12 21:01:34,83,67,NO
"Will the high temp in Chicago be 89-90° on Jul 13, 2025?",Chicago,2025-07-13,between,89,90,,5.00,91.00,2025-07-12 21:01:34,83,67,NO
"Will the **high temp in Denver** be <89° on Jul 13, 2025?",Denver,2025-07-13,less,,89,,2.00,94.00,2025-07-12 21:01:31,92,62,NO
"Will the **high temp in Denver** be >96° on Jul 13, 2025?",Denver,2025-07-13,greater,,96,,0.00,94.00,2025-07-12 21:01:31,92,62,NO
"Will the **high temp in Denver** be 89-90° on Jul 13, 2025?",Denver,2025-07-13,between,89,90,,25.00,71.00,2025-07-12 21:01:31,92,62,NO
"Will the **high temp in Denver** be 91-92° on Jul 13, 2025?",Denver,2025-07-13,between,91,92,,41.00,54.00,2025-07-12 21:01:31,92,62,YES
"Will the **high temp in Denver** be 93-94° on Jul 13, 2025?",Denver,2025-07-13,between,93,94,,18.00,63.00,2025-07-12 21:01:31,92,62,NO
"Will the **high temp in Denver** be 95-96° on Jul 13, 2025?",Denver,2025-07-13,between,95,96,,2.00,94.00,2025-07-12 21:01:31,92,62,NO
"Will the **high temp in LA** be <67° on Jul 13, 2025?",Los Angeles,2025-07-13,less,,67,,0.00,99.00,2025-07-12 21:01:31,71,61,NO
"Will the **high temp in LA** be >74° on Jul 13, 2025?",Los Angeles,2025-07-13,greater,,74,,6.00,90.00,2025-07-12 21:01:31,71,61,NO
"Will the **high temp in LA** be 67-68° on Jul 13, 2025?",Los Angeles,2025-07-13,between,67,68,,1.00,95.00,2025-07-12 21:01:31,71,61,NO
"Will the **high temp in LA** be 69-70° on Jul 13, 2025?",Los Angeles,2025-07-13,between,69,70,,15.00,84.00,2025-07-12 21:01:31,71,61,NO
"Will the **high temp in LA** be 71-72° on Jul 13, 2025?",Los Angeles,2025-07-13,between,71,72,,41.00,54.00,2025-07-12 21:01:31,71,61,YES
"Will the **high temp in LA** be 73-74° on Jul 13, 2025?",Los Angeles,2025-07-13,between,73,74,,36.00,62.00,2025-07-12 21:01:31,71,61,NO
"Will the **high temp in Miami** be <85° on Jul 13, 2025?",Miami,2025-07-13,less,,85,,0.00,99.00,2025-07-12 21:01:33,88,79,NO
"Will the **high temp in Miami** be >92° on Jul 13, 2025?",Miami,2025-07-13,greater,,92,,31.00,61.00,2025-07-12 21:01:33,88,79,NO
"Will the **high temp in Miami** be 85-86° on Jul 13, 2025?",Miami,2025-07-13,between,85,86,,1.00,97.00,2025-07-12 21:01:33,88,79,NO
"Will the **high temp in Miami** be 87-88° on Jul 13, 2025?",Miami,2025-07-13,between,87,88,,1.00,95.00,2025-07-12 21:01:33,88,79,YES
"Will the **high temp in Miami** be 89-90° on Jul 13, 2025?",Miami,2025-07-13,between,89,90,,15.00,79.00,2025-07-12 21:01:33,88,79,NO
"Will the **high temp in Miami** be 91-92° on Jul 13, 2025?",Miami,2025-07-13,between,91,92,,49.00,46.00,2025-07-12 21:01:33,88,79,NO
"Will the **high temp in NYC** be <82° on Jul 13, 2025?",New York,2025-07-13,less,,82,,35.00,60.00,2025-07-12 21:01:32,83,71,NO
"Will the **high temp in NYC** be >89° on Jul 13, 2025?",New York,2025-07-13,greater,,89,,1.00,94.00,2025-07-12 21:01:32,83,71,NO
"Will the **high temp in NYC** be 82-83° on Jul 13, 2025?",New York,2025-07-13,between,82,83,,40.00,54.00,2025-07-12 21:01:32,83,71,YES
"Will the **high temp in NYC** be 84-85° on Jul 13, 2025?",New York,2025-07-13,between,84,85,,12.00,86.00,2025-07-12 21:01:32,83,71,NO
"Will the **high temp in NYC** be 86-87° on Jul 13, 2025?",New York,2025-07-13,between,86,87,,3.00,82.00,2025-07-12 21:01:32,83,71,NO
"Will the **high temp in NYC** be 88-89° on Jul 13, 2025?",New York,2025-07-13,between,88,89,,1.00,94.00,2025-07-12 21:01:32,83,71,NO
"Will the **high temp in Philadelphia** be <84° on Jul 13, 2025?",Philadelphia,2025-07-13,less,,84,,0.00,96.00,2025-07-12 21:01:33,92,75,NO
"Will the **high temp in Philadelphia** be >91° on Jul 13, 2025?",Philadelphia,2025-07-13,greater,,91,,0.00,99.00,2025-07-12 21:01:33,92,75,NO
"Will the **high temp in Philadelphia** be 84-85° on Jul 13, 2025?",Philadelphia,2025-07-13,between,84,85,,8.00,88.00,2025-07-12 21:01:33,92,75,NO
"Will the **high temp in Philadelphia** be 86-87° on Jul 13, 2025?",Philadelphia,2025-07-13,between,86,87,,35.00,64.00,2025-07-12 21:01:33,92,75,NO
"Will the **high temp in Philadelphia** be 88-89° on Jul 13, 2025?",Philadelphia,2025-07-13,between,88,89,,38.00,56.00,2025-07-12 21:01:33,92,75,NO
"Will the **high temp in Philadelphia** be 90-91° on Jul 13, 2025?",Philadelphia,2025-07-13,between,90,91,,12.00,83.00,2025-07-12 21:01:33,92,75,NO
"Will the **high temp in Austin** be <90° on Jul 12, 2025?",Austin,2025-07-12,less,,90,,6.00,91.00,2025-07-11 21:01:48,93,76,NO
"Will the **high temp in Austin** be >97° on Jul 12, 2025?",Austin,2025-07-12,greater,,97,,1.00,94.00,2025-07-11 21:01:48,93,76,NO
"Will the **high temp in Austin** be 90-91° on Jul 12, 2025?",Austin,2025-07-12,between,90,91,,18.00,70.00,2025-07-11 21:01:48,93,76,NO
"Will the **high temp in Austin** be 92-93° on Jul 12, 2025?",Austin,2025-07-12,between,92,93,,54.00,45.00,2025-07-11 21:01:48,93,76,YES
"Will the **high temp in Austin** be 94-95° on Jul 12, 2025?",Austin,2025-07-12,between,94,95,,2.00,81.00,2025-07-11 21:01:48,93,76,NO
"Will the **high temp in Austin** be 96-97° on Jul 12, 2025?",Austin,2025-07-12,between,96,97,,7.00,89.00,2025-07-11 21:01:48,93,76,NO
"Will the high temp in Chicago be <84° on Jul 12, 2025?",Chicago,2025-07-12,less,,84,,8.00,89.00,2025-07-11 21:01:49,87,69,NO
"Will the high temp in Chicago be >91° on Jul 12, 2025?",Chicago,2025-07-12,greater,,91,,1.00,95.00,2025-07-11 21:01:49,87,69,NO
"Will the high temp in Chicago be 84-85° on Jul 12, 2025?",Chicago,2025-07-12,between,84,85,,18.00,80.00,2025-07-11 21:01:49,87,69,NO
"Will the high temp in Chicago be 86-87° on Jul 12, 2025?",Chicago,2025-07-12,between,86,87,,35.00,63.00,2025-07-11 21:01:49,87,69,YES
"Will the high temp in Chicago be 88-89° on Jul 12, 2025?",Chicago,2025-07-12,between,88,89,,21.00,75.00,2025-07-11 21:01:49,87,69,NO
