City,Date,Temp_Range,9PM_Bid,Ending_Cost,Won
MIA,MAR-25-2024,80° to 81°,65,0,Won
NY,MAR-26-2024,48° to 49°,45,0,Lost
CHI,MAR-26-2024,60° or above,44,0,Lost
MIA,MAR-26-2024,82° to 83°,66,0,Won
NY,MAR-27-2024,56° to 57°,37,0,Lost
CHI,MAR-27-2024,45° to 46°,44,0,Lost
MIA,MAR-27-2024,84° to 85°,46,0,Lost
NY,MAR-28-2024,51° to 52°,40,0,Won
CHI,MAR-28-2024,54° or above,46,0,Lost
MIA,MAR-28-2024,85° to 86°,60,0,Lost
NY,MAR-29-2024,55° to 56°,49,0,Won
CHI,MAR-29-2024,56° or above,42,0,Lost
MIA,MAR-29-2024,79° to 80°,53,0,Won
NY,MAR-30-2024,59° to 60°,40,0,Lost
CHI,MAR-30-2024,61° to 62°,30,0,Lost
MIA,MAR-30-2024,79° to 80°,49,0,Won
NY,MAR-31-2024,61° to 62°,52,0,Won
CHI,MAR-31-2024,51° or above,43,0,Won
MIA,MAR-31-2024,81° to 82°,60,0,Lost
NY,APR-01-2024,52° to 53°,35,0,Lost
CHI,APR-01-2024,50° or above,64,0,Won
MIA,APR-01-2024,82° to 83°,61,0,Won
NY,APR-02-2024,51° to 52°,49,0,Won
CHI,APR-02-2024,46° or above,76,0,Won
MIA,APR-02-2024,85° to 86°,68,0,Won
NY,APR-03-2024,48° to 49°,45,0,Lost
CHI,APR-03-2024,43° or above,28,0,Lost
MIA,APR-03-2024,88° to 89°,46,0,Won
NY,APR-04-2024,49° to 50°,33,0,Lost
CHI,APR-04-2024,43° to 44°,33,0,Won
MIA,APR-04-2024,80° to 81°,51,0,Won
NY,APR-05-2024,49° to 50°,35,0,Won
CHI,APR-05-2024,46° to 47°,36,0,Lost
MIA,APR-05-2024,82° to 83°,59,0,Lost
NY,APR-06-2024,51° to 52°,38,0,Lost
CHI,APR-06-2024,53° or above,48,0,Won
MIA,APR-06-2024,83° to 84°,51,0,Lost
NY,APR-07-2024,55° to 56°,43,0,Lost
CHI,APR-07-2024,55° or above,55,0,Lost
MIA,APR-07-2024,81° to 82°,54,0,Won
NY,APR-08-2024,64° to 65°,40,0,Lost
CHI,APR-08-2024,71° or above,77,0,Won
MIA,APR-08-2024,78° to 79°,53,0,Lost
NY,APR-09-2024,74° to 75°,32,0,Lost
CHI,APR-09-2024,66° to 67°,36,0,Lost
MIA,APR-09-2024,81° to 82°,48,0,Won
NY,APR-10-2024,62° to 63°,41,0,Lost
CHI,APR-10-2024,65° to 66°,30,0,Lost
MIA,APR-10-2024,83° to 84°,56,0,Won
NY,APR-11-2024,66° to 67°,42,0,Lost
CHI,APR-11-2024,55° or above,60,0,Won
MIA,APR-11-2024,88° to 89°,60,0,Lost
NY,APR-12-2024,64° to 65°,39,0,Lost
CHI,APR-12-2024,61° to 62°,34,0,Lost
MIA,APR-12-2024,84° to 85°,56,0,Won
NY,APR-13-2024,56° to 57°,56,0,Won
CHI,APR-13-2024,73° or above,41,0,Lost
MIA,APR-13-2024,82° to 83°,65,0,Lost
NY,APR-14-2024,73° or above,40,0,Won
CHI,APR-14-2024,80° to 81°,35,0,Won
MIA,APR-14-2024,80° to 81°,64,0,Won
NY,APR-15-2024,76° or above,76,0,Won
CHI,APR-15-2024,73° to 74°,33,0,Won
MIA,APR-15-2024,81° to 82°,61,0,Won
NY,APR-16-2024,70° to 71°,32,0,Lost
CHI,APR-16-2024,71° or above,32,0,Won
MIA,APR-16-2024,81° to 82°,59,0,Lost
NY,APR-17-2024,63° to 64°,35,0,Lost
CHI,APR-17-2024,68° to 69°,33,0,Lost
MIA,APR-17-2024,83° to 84°,56,0,Won
NY,APR-18-2024,51° to 52°,47,0,Lost
CHI,APR-18-2024,59° to 60°,30,0,Won
MIA,APR-18-2024,84° to 85°,52,0,Won
NY,APR-19-2024,58° to 59°,42,0,Lost
CHI,APR-19-2024,60° to 61°,26,0,Lost
MIA,APR-19-2024,85° to 86°,62,0,Lost
NY,APR-20-2024,66° to 67°,39,0,Lost
CHI,APR-20-2024,52° to 53°,39,0,Lost
MIA,APR-20-2024,87° to 88°,60,0,Lost
NY,APR-21-2024,58° to 59°,42,0,Lost
CHI,APR-21-2024,60° to 61°,31,0,Lost
MIA,APR-21-2024,87° or above,53,0,Lost
NY,APR-22-2024,62° to 63°,32,0,Lost
CHI,APR-22-2024,66° to 67°,28,0,Lost
MIA,APR-22-2024,85° to 86°,51,0,Won
NY,APR-23-2024,63° to 64°,39,0,Lost
CHI,APR-23-2024,68° to 69°,27,0,Lost
MIA,APR-23-2024,81° to 82°,51,0,Won
NY,APR-24-2024,69° or above,73,0,Won
CHI,APR-24-2024,49° or above,60,0,Lost
MIA,APR-24-2024,81° to 82°,59,0,Won
NY,APR-25-2024,57° to 58°,31,0,Lost
CHI,APR-25-2024,61° or above,39,0,Lost
MIA,APR-25-2024,83° to 84°,60,0,Won
NY,APR-26-2024,62° to 63°,30,0,Lost
CHI,APR-26-2024,66° or above,28,0,Lost
MIA,APR-26-2024,83° to 84°,46,0,Won
NY,APR-27-2024,63° to 64°,28,0,Won
CHI,APR-27-2024,79° to 80°,30,0,Won
MIA,APR-27-2024,81° to 82°,50,0,Lost
NY,APR-28-2024,76° to 77°,35,0,Lost
CHI,APR-28-2024,75° to 76°,28,0,Lost
MIA,APR-28-2024,80° to 81°,55,0,Lost
NY,APR-29-2024,83° to 84°,29,0,Lost
CHI,APR-29-2024,73° to 74°,31,0,Lost
MIA,APR-29-2024,83° to 84°,49,0,Won
NY,APR-30-2024,66° or below,70,0,Won
CHI,APR-30-2024,76° or above,51,0,Lost
MIA,APR-30-2024,83° to 84°,63,0,Won
NY,MAY-01-2024,74° or above,72,0,Won
CHI,MAY-01-2024,76° to 77°,26,0,Lost
MIA,MAY-01-2024,84° to 85°,44,0,Won
NY,MAY-02-2024,84° to 85°,30,0,Lost
CHI,MAY-02-2024,79° or above,55,0,Won
MIA,MAY-02-2024,84° to 85°,44,0,Won
NY,MAY-03-2024,67° to 68°,34,0,Lost
CHI,MAY-03-2024,70° or above,71,0,Lost
MIA,MAY-03-2024,85° to 86°,53,0,Won
NY,MAY-04-2024,67° or above,51,0,Lost
CHI,MAY-04-2024,79° or above,75,0,Won
MIA,MAY-04-2024,85° to 86°,57,0,Won
NY,MAY-05-2024,59° to 60°,26,0,Lost
CHI,MAY-05-2024,63° to 64°,34,0,Lost
MIA,MAY-05-2024,85° to 86°,56,0,Won
NY,MAY-06-2024,72° or below,41,0,Lost
CHI,MAY-06-2024,73° or above,45,0,Lost
MIA,MAY-06-2024,87° or above,47,0,Lost
NY,MAY-07-2024,79° to 80°,28,0,Won
CHI,MAY-07-2024,74° to 75°,29,0,Lost
MIA,MAY-07-2024,87° to 88°,59,0,Lost
NY,MAY-08-2024,84° or above,45,0,Won
CHI,MAY-08-2024,79° to 80°,28,0,Lost
MIA,MAY-08-2024,88° to 89°,59,0,Lost
NY,MAY-09-2024,71° to 72°,40,0,Lost
CHI,MAY-09-2024,62° or above,38,0,Won
MIA,MAY-09-2024,90° or above,64,0,Lost
NY,MAY-10-2024,59° to 60°,52,0,Lost
CHI,MAY-10-2024,66° to 67°,28,0,Lost
MIA,MAY-10-2024,93° to 94°,50,0,Won
NY,MAY-11-2024,62° to 63°,30,0,Lost
CHI,MAY-11-2024,67° to 68°,28,0,Lost
MIA,MAY-11-2024,93° to 94°,43,0,Won
NY,MAY-12-2024,55° to 56°,28,0,Lost
CHI,MAY-12-2024,84° or above,45,0,Won
MIA,MAY-12-2024,91° to 92°,47,0,Won
NY,MAY-13-2024,70° to 71°,26,0,Lost
CHI,MAY-13-2024,81° or above,45,0,Won
MIA,MAY-13-2024,89° to 90°,48,0,Won
NY,MAY-14-2024,75° to 76°,28,0,Lost
CHI,MAY-14-2024,62° or above,54,0,Won
MIA,MAY-14-2024,90° to 91°,50,0,Won
NY,MAY-15-2024,65° to 66°,43,0,Lost
CHI,MAY-15-2024,67° to 68°,37,0,Lost
MIA,MAY-15-2024,95° to 96°,43,0,Won
NY,MAY-16-2024,67° to 68°,31,0,Lost
CHI,MAY-16-2024,76° to 77°,30,0,Won
MIA,MAY-16-2024,95° to 96°,56,0,Lost
NY,MAY-17-2024,74° to 75°,28,0,Lost
CHI,MAY-17-2024,77° or above,77,0,Won
MIA,MAY-17-2024,93° to 94°,59,0,Won
NY,MAY-18-2024,70° to 71°,31,0,Lost
CHI,MAY-18-2024,86° to 87°,28,0,Won
MIA,MAY-18-2024,94° to 95°,53,0,Won
NY,MAY-19-2024,71° to 72°,30,0,Lost
CHI,MAY-19-2024,77° to 78°,30,0,Won
MIA,MAY-19-2024,93° to 94°,51,0,Lost
NY,MAY-20-2024,73° to 74°,27,0,Won
CHI,MAY-20-2024,89° to 90°,30,0,Lost
MIA,MAY-20-2024,90° to 91°,26,0,Lost
NY,MAY-21-2024,80° or below,41,0,Lost
CHI,MAY-21-2024,89° to 90°,26,0,Lost
MIA,MAY-21-2024,89° to 90°,43,0,Lost
NY,MAY-22-2024,83° to 84°,30,0,Won
CHI,MAY-22-2024,78° to 79°,36,0,Lost
MIA,MAY-22-2024,90° to 91°,54,0,Lost
NY,MAY-23-2024,81° to 82°,34,0,Lost
CHI,MAY-23-2024,81° to 82°,32,0,Lost
MIA,MAY-23-2024,91° to 92°,51,0,Lost
NY,MAY-24-2024,85° to 86°,28,0,Lost
CHI,MAY-24-2024,87° or above,38,0,Lost
MIA,MAY-24-2024,91° to 92°,55,0,Won
NY,MAY-25-2024,80° to 81°,33,0,Won
CHI,MAY-25-2024,75° to 76°,28,0,Lost
MIA,MAY-25-2024,92° to 93°,46,0,Won
NY,MAY-26-2024,81° to 82°,29,0,Won
CHI,MAY-26-2024,75° to 76°,31,0,Won
MIA,MAY-26-2024,93° to 94°,55,0,Lost
NY,MAY-27-2024,73° to 74°,28,0,Won
CHI,MAY-27-2024,76° or above,44,0,Lost
MIA,MAY-27-2024,94° to 95°,53,0,Lost
NY,MAY-28-2024,82° to 83°,29,0,Lost
CHI,MAY-28-2024,71° to 72°,31,0,Lost
MIA,MAY-28-2024,93° to 94°,46,0,Lost
NY,MAY-29-2024,76° to 77°,27,0,Won
CHI,MAY-29-2024,69° to 70°,25,0,Lost
MIA,MAY-29-2024,94° to 95°,45,0,Won
NY,MAY-30-2024,71° to 72°,34,0,Won
CHI,MAY-30-2024,70° to 71°,27,0,Won
MIA,MAY-30-2024,91° to 92°,54,0,Lost
NY,MAY-31-2024,75° to 76°,27,0,Won
CHI,MAY-31-2024,81° to 82°,28,0,Won
MIA,MAY-31-2024,91° to 92°,45,0,Lost
NY,JUN-01-2024,84° to 85°,31,0,Lost
CHI,JUN-01-2024,68° to 69°,39,0,Won
MIA,JUN-01-2024,87° to 88°,50,0,Won
NY,JUN-02-2024,81° to 82°,38,0,Won
CHI,JUN-02-2024,75° to 76°,31,0,Won
MIA,JUN-02-2024,86° to 87°,54,0,Won
NY,JUN-03-2024,84° to 85°,34,0,Lost
CHI,JUN-03-2024,88° or above,49,0,Won
MIA,JUN-03-2024,87° to 88°,47,0,Won
NY,JUN-04-2024,78° to 79°,31,0,Won
CHI,JUN-04-2024,89° or above,54,0,Lost
MIA,JUN-04-2024,88° to 89°,44,0,Won
NY,JUN-05-2024,78° to 79°,31,0,Won
CHI,JUN-05-2024,82° to 83°,30,0,Lost
MIA,JUN-05-2024,91° to 92°,49,0,Lost
NY,JUN-06-2024,80° to 81°,37,0,Won
CHI,JUN-06-2024,77° to 78°,36,0,Lost
MIA,JUN-06-2024,92° or above,72,0,Won
NY,JUN-07-2024,82° to 83°,28,0,Won
CHI,JUN-07-2024,76° to 77°,28,0,Lost
MIA,JUN-07-2024,91° to 92°,50,0,Lost
NY,JUN-08-2024,78° to 79°,33,0,Lost
CHI,JUN-08-2024,75° to 76°,31,0,Lost
MIA,JUN-08-2024,90° to 91°,50,0,Won
NY,JUN-09-2024,78° to 79°,36,0,Lost
CHI,JUN-09-2024,81° or above,44,0,Won
MIA,JUN-09-2024,90° to 91°,43,0,Lost
NY,JUN-10-2024,74° to 75°,32,0,Won
CHI,JUN-10-2024,68° to 69°,34,0,Won
MIA,JUN-10-2024,88° to 89°,41,0,Lost
NY,JUN-11-2024,73° or below,48,0,Won
CHI,JUN-11-2024,78° to 79°,28,0,Won
MIA,JUN-11-2024,85° to 86°,39,0,Won
NY,JUN-12-2024,78° to 79°,30,0,Lost
CHI,JUN-12-2024,90° to 91°,31,0,Lost
MIA,JUN-12-2024,84° to 85°,52,0,Won
NY,JUN-13-2024,83° to 84°,30,0,Won
CHI,JUN-13-2024,91° to 92°,28,0,Won
MIA,JUN-13-2024,84° to 85°,40,0,Lost
NY,JUN-14-2024,84° to 85°,27,0,Won
CHI,JUN-14-2024,83° to 84°,30,0,Lost
MIA,JUN-14-2024,84° to 85°,50,0,Lost
NY,JUN-15-2024,80° to 81°,28,0,Won
CHI,JUN-15-2024,87° or above,42,0,Lost
MIA,JUN-15-2024,84° to 85°,44,0,Won
NY,JUN-16-2024,75° to 76°,27,0,Lost
CHI,JUN-16-2024,93° to 94°,27,0,Lost
MIA,JUN-16-2024,88° to 89°,39,0,Lost
NY,JUN-17-2024,84° to 85°,30,0,Lost
CHI,JUN-17-2024,97° to 98°,34,0,Won
MIA,JUN-17-2024,87° to 88°,37,0,Lost
NY,JUN-18-2024,86° to 87°,28,0,Won
CHI,JUN-18-2024,95° to 96°,28,0,Won
MIA,JUN-18-2024,91° or above,44,0,Lost
NY,JUN-19-2024,87° to 88°,32,0,Lost
CHI,JUN-19-2024,96° to 97°,28,0,Lost
MIA,JUN-19-2024,87° to 88°,38,0,Lost
