City,Date,Temp_Range,8AM_Bid,Ending_Cost,Won
MIA,JAN-12-2024,82° to 83°,26,0,Lost
CHI,JAN-13-2024,28° or above,97,0,Won
MIA,JAN-13-2024,83° to 84°,12,0,Lost
NY,JAN-14-2024,42° to 43°,3,0,Lost
CHI,JAN-14-2024,1° to 2°,7,0,Won
MIA,JAN-14-2024,73° to 74°,8,0,Lost
NY,JAN-15-2024,33° to 34°,24,0,Lost
CHI,JAN-15-2024,3° to 4°,16,0,Won
MIA,JAN-15-2024,83° or above,7,0,Lost
MIA,JAN-16-2024,85° or above,17,0,Won
NY,JAN-17-2024,22° to 23°,1,0,Lost
CHI,JAN-17-2024,19° to 20°,7,0,Lost
MIA,JAN-17-2024,74° to 75°,15,0,Won
NY,JAN-19-2024,30° to 31°,33,0,Lost
CHI,JAN-19-2024,16° to 17°,3,0,Won
MIA,JAN-19-2024,79° to 80°,6,0,Lost
NY,JAN-20-2024,26° to 27°,55,0,Won
CHI,JAN-20-2024,17° to 18°,21,0,Lost
MIA,JAN-20-2024,75° or above,4,0,Lost
NY,JAN-21-2024,31° to 32°,29,0,Won
CHI,JAN-21-2024,22° to 23°,22,0,Won
MIA,JAN-21-2024,70° to 71°,26,0,Won
NY,JAN-22-2024,37° to 38°,26,0,Won
CHI,JAN-22-2024,35° or above,21,0,Won
MIA,JAN-22-2024,77° or above,1,0,Lost
NY,JAN-23-2024,40° to 41°,12,0,Won
CHI,JAN-23-2024,38° or above,21,0,Won
MIA,JAN-23-2024,80° to 81°,1,0,Won
NY,JAN-24-2024,45° or above,45,0,Won
CHI,JAN-24-2024,39° to 40°,15,0,Won
MIA,JAN-24-2024,83° or above,5,0,Lost
NY,JAN-25-2024,56° or above,3,0,Won
CHI,JAN-25-2024,41° or above,41,0,Won
NY,JAN-26-2024,50° or above,3,0,Lost
CHI,JAN-26-2024,42° or above,21,0,Won
MIA,JAN-26-2024,85° or above,1,0,Lost
NY,JAN-27-2024,48° to 49°,3,0,Won
MIA,JAN-27-2024,85° or above,3,0,Lost
MIA,JAN-28-2024,87° or above,3,0,Lost
NY,JAN-30-2024,39° to 40°,3,0,Lost
CHI,JAN-30-2024,43° or above,3,0,Lost
MIA,JAN-30-2024,73° to 74°,25,0,Won
CHI,JAN-31-2024,44° to 45°,12,0,Lost
NY,FEB-01-2024,47° to 48°,16,0,Lost
CHI,FEB-01-2024,53° or above,10,0,Won
MIA,FEB-01-2024,78° or above,1,0,Lost
NY,FEB-02-2024,43° to 44°,15,0,Lost
CHI,FEB-02-2024,43° to 44°,14,0,Won
MIA,FEB-02-2024,77° to 78°,15,0,Won
NY,FEB-03-2024,42° to 43°,12,0,Won
CHI,FEB-03-2024,41° to 42°,1,0,Lost
MIA,FEB-03-2024,79° or above,3,0,Lost
NY,FEB-04-2024,44° to 45°,29,0,Lost
CHI,FEB-04-2024,44° to 45°,12,0,Lost
MIA,FEB-04-2024,74° to 75°,6,0,Won
CHI,FEB-05-2024,39° or below,4,0,Lost
MIA,FEB-05-2024,68° to 69°,7,0,Won
CHI,FEB-06-2024,48° to 49°,2,0,Lost
MIA,FEB-06-2024,69° to 70°,3,0,Lost
NY,FEB-07-2024,48° to 49°,1,0,Won
CHI,FEB-07-2024,47° to 48°,3,0,Won
MIA,FEB-07-2024,77° or above,4,0,Won
NY,FEB-08-2024,52° or above,5,0,Won
CHI,FEB-08-2024,58° to 59°,3,0,Lost
MIA,FEB-08-2024,78° or above,3,0,Lost
NY,FEB-09-2024,51° to 52°,9,0,Lost
CHI,FEB-09-2024,59° to 60°,29,0,Lost
MIA,FEB-09-2024,79° or above,24,0,Lost
NY,FEB-10-2024,62° or above,7,0,Lost
CHI,FEB-10-2024,43° to 44°,15,0,Won
MIA,FEB-10-2024,75° to 76°,3,0,Lost
NY,FEB-11-2024,54° or above,25,0,Won
CHI,FEB-11-2024,44° to 45°,21,0,Lost
MIA,FEB-11-2024,82° or above,3,0,Lost
NY,FEB-12-2024,49° to 50°,19,0,Lost
CHI,FEB-12-2024,47° or above,25,0,Lost
MIA,FEB-12-2024,85° or above,3,0,Won
NY,FEB-13-2024,40° or above,3,0,Won
CHI,FEB-13-2024,42° to 43°,15,0,Won
NY,FEB-14-2024,39° or above,1,0,Lost
MIA,FEB-14-2024,80° or above,3,0,Won
NY,FEB-15-2024,40° to 41°,21,0,Lost
CHI,FEB-15-2024,44° or above,3,0,Won
MIA,FEB-15-2024,78° to 79°,50,0,Won
NY,FEB-16-2024,41° to 42°,23,0,Lost
CHI,FEB-16-2024,35° to 36°,15,0,Lost
MIA,FEB-16-2024,78° to 79°,26,0,Won
NY,FEB-17-2024,40° to 41°,1,0,Lost
CHI,FEB-17-2024,31° to 32°,20,0,Lost
MIA,FEB-17-2024,86° or above,6,0,Lost
NY,FEB-18-2024,39° to 40°,36,0,Won
CHI,FEB-18-2024,43° to 44°,25,0,Lost
MIA,FEB-18-2024,76° to 77°,5,0,Won
NY,FEB-19-2024,41° to 42°,20,0,Won
CHI,FEB-19-2024,48° or above,21,0,Won
NY,FEB-20-2024,38° to 39°,25,0,Lost
CHI,FEB-20-2024,56° or above,31,0,Won
MIA,FEB-20-2024,71° to 72°,31,0,Lost
NY,FEB-21-2024,42° to 43°,3,0,Won
CHI,FEB-21-2024,64° to 65°,7,0,Lost
CHI,FEB-22-2024,56° or above,31,0,Won
MIA,FEB-22-2024,76° to 77°,15,0,Won
NY,FEB-23-2024,47° to 48°,21,0,Won
CHI,FEB-23-2024,46° or above,75,0,Won
MIA,FEB-23-2024,80° to 81°,30,0,Lost
NY,FEB-24-2024,44° or above,58,0,Won
CHI,FEB-24-2024,35° to 36°,15,0,Won
NY,FEB-25-2024,40° to 41°,40,0,Won
CHI,FEB-25-2024,60° or above,25,0,Won
NY,FEB-26-2024,53° to 54°,35,0,Lost
CHI,FEB-26-2024,71° or above,27,0,Won
MIA,FEB-26-2024,75° to 76°,20,0,Won
NY,FEB-27-2024,56° to 57°,40,0,Lost
CHI,FEB-27-2024,77° to 78°,16,0,Lost
MIA,FEB-27-2024,80° or above,6,0,Lost
NY,FEB-28-2024,59° to 60°,10,0,Lost
CHI,FEB-28-2024,32° or above,98,0,Won
MIA,FEB-28-2024,83° or above,4,0,Lost
NY,FEB-29-2024,43° or above,3,0,Won
CHI,FEB-29-2024,43° to 44°,1,0,Lost
MIA,FEB-29-2024,81° to 82°,39,0,Won
NY,MAR-01-2024,46° to 47°,29,0,Lost
CHI,MAR-01-2024,48° to 49°,20,0,Lost
MIA,MAR-01-2024,79° to 80°,12,0,Won
NY,MAR-02-2024,50° to 51°,43,0,Lost
CHI,MAR-02-2024,60° to 61°,30,0,Won
MIA,MAR-02-2024,80° to 81°,20,0,Won
NY,MAR-03-2024,64° or above,25,0,Won
CHI,MAR-03-2024,70° to 71°,18,0,Lost
MIA,MAR-03-2024,81° to 82°,15,0,Lost
NY,MAR-04-2024,58° to 59°,4,0,Won
CHI,MAR-04-2024,76° or above,31,0,Lost
MIA,MAR-04-2024,83° to 84°,20,0,Lost
NY,MAR-05-2024,51° to 52°,21,0,Lost
CHI,MAR-05-2024,48° to 49°,6,0,Lost
MIA,MAR-05-2024,82° to 83°,35,0,Won
NY,MAR-06-2024,54° to 55°,28,0,Lost
CHI,MAR-06-2024,48° to 49°,8,0,Lost
MIA,MAR-06-2024,81° to 82°,3,0,Won
NY,MAR-07-2024,54° to 55°,3,0,Won
CHI,MAR-07-2024,49° to 50°,12,0,Won
MIA,MAR-07-2024,83° to 84°,15,0,Lost
NY,MAR-08-2024,54° to 55°,25,0,Lost
CHI,MAR-08-2024,49° to 50°,25,0,Lost
MIA,MAR-08-2024,83° to 84°,9,0,Lost
NY,MAR-09-2024,51° to 52°,3,0,Lost
CHI,MAR-09-2024,45° to 46°,7,0,Lost
MIA,MAR-09-2024,88° or above,9,0,Lost
NY,MAR-10-2024,52° to 53°,10,0,Lost
CHI,MAR-10-2024,48° to 49°,22,0,Won
MIA,MAR-10-2024,89° to 90°,1,0,Lost
CHI,MAR-11-2024,66° to 67°,29,0,Lost
CHI,MAR-12-2024,73° or above,21,0,Lost
CHI,MAR-13-2024,66° or above,21,0,Won
MIA,MAR-13-2024,83° to 84°,44,0,Lost
NY,MAR-14-2024,71° to 72°,21,0,Lost
CHI,MAR-14-2024,63° or above,15,0,Won
MIA,MAR-14-2024,83° to 84°,22,0,Won
NY,MAR-15-2024,68° or above,12,0,Won
CHI,MAR-15-2024,52° to 53°,22,0,Won
MIA,MAR-15-2024,83° to 84°,14,0,Won
CHI,MAR-16-2024,55° to 56°,12,0,Lost
MIA,MAR-16-2024,89° or above,3,0,Lost
NY,MAR-17-2024,62° to 63°,40,0,Won
CHI,MAR-17-2024,43° or above,20,0,Won
MIA,MAR-17-2024,89° or above,3,0,Lost
CHI,MAR-18-2024,38° to 39°,3,0,Lost
CHI,MAR-19-2024,57° to 58°,16,0,Lost
MIA,MAR-19-2024,78° to 79°,3,0,Won
NY,MAR-20-2024,57° to 58°,15,0,Won
CHI,MAR-20-2024,43° or above,22,0,Won
MIA,MAR-20-2024,80° to 81°,3,0,Lost
NY,MAR-21-2024,40° to 41°,73,0,Lost
CHI,MAR-21-2024,42° to 43°,15,0,Lost
MIA,MAR-21-2024,81° to 82°,3,0,Won
NY,MAR-22-2024,45° to 46°,5,0,Won
CHI,MAR-22-2024,41° or below,16,0,Won
MIA,MAR-22-2024,74° or below,6,0,Lost
MIA,MAR-23-2024,81° to 82°,3,0,Lost
NY,MAR-24-2024,45° to 46°,16,0,Lost
CHI,MAR-24-2024,50° or above,34,0,Won
MIA,MAR-24-2024,79° to 80°,30,0,Lost
NY,MAR-25-2024,50° to 51°,6,0,Lost
CHI,MAR-25-2024,64° or above,33,0,Won
MIA,MAR-25-2024,80° to 81°,52,0,Won
NY,MAR-26-2024,50° to 51°,3,0,Lost
CHI,MAR-26-2024,58° to 59°,3,0,Won
MIA,MAR-26-2024,82° to 83°,44,0,Won
NY,MAR-27-2024,54° to 55°,24,0,Lost
CHI,MAR-27-2024,45° to 46°,11,0,Lost
MIA,MAR-27-2024,82° to 83°,3,0,Won
NY,MAR-28-2024,51° to 52°,10,0,Won
CHI,MAR-28-2024,52° to 53°,20,0,Won
MIA,MAR-28-2024,87° to 88°,15,0,Won
NY,MAR-29-2024,55° to 56°,49,0,Won
CHI,MAR-29-2024,54° to 55°,23,0,Lost
MIA,MAR-29-2024,81° or above,6,0,Lost
NY,MAR-30-2024,54° or below,1,0,Lost
CHI,MAR-30-2024,61° to 62°,30,0,Lost
MIA,MAR-30-2024,75° to 76°,1,0,Lost
MIA,MAR-31-2024,77° to 78°,2,0,Lost
NY,APR-02-2024,51° to 52°,21,0,Won
CHI,APR-02-2024,46° or above,25,0,Won
MIA,APR-02-2024,83° to 84°,5,0,Lost
NY,APR-03-2024,48° to 49°,3,0,Lost
CHI,APR-03-2024,39° to 40°,18,0,Won
NY,APR-04-2024,49° to 50°,41,0,Lost
CHI,APR-04-2024,43° to 44°,11,0,Won
MIA,APR-04-2024,82° or above,7,0,Lost
NY,APR-05-2024,49° to 50°,34,0,Won
CHI,APR-05-2024,48° or above,23,0,Won
MIA,APR-05-2024,82° to 83°,37,0,Lost
NY,APR-06-2024,51° to 52°,35,0,Lost
CHI,APR-06-2024,53° or above,31,0,Won
MIA,APR-06-2024,83° to 84°,45,0,Lost
CHI,APR-07-2024,55° or above,12,0,Lost
MIA,APR-07-2024,81° to 82°,50,0,Won
NY,APR-08-2024,64° to 65°,24,0,Lost
CHI,APR-08-2024,71° or above,56,0,Won
MIA,APR-08-2024,78° to 79°,52,0,Lost
NY,APR-09-2024,74° to 75°,30,0,Lost
CHI,APR-09-2024,66° to 67°,16,0,Lost
MIA,APR-09-2024,81° to 82°,40,0,Won
NY,APR-10-2024,64° or above,7,0,Won
CHI,APR-10-2024,69° or above,7,0,Lost
MIA,APR-10-2024,83° to 84°,56,0,Won
NY,APR-11-2024,66° to 67°,33,0,Lost
CHI,APR-11-2024,55° or above,70,0,Won
MIA,APR-11-2024,88° to 89°,49,0,Lost
NY,APR-12-2024,66° to 67°,32,0,Lost
CHI,APR-12-2024,61° to 62°,18,0,Lost
MIA,APR-12-2024,84° to 85°,53,0,Won
NY,APR-13-2024,56° to 57°,22,0,Won
CHI,APR-13-2024,73° or above,41,0,Lost
MIA,APR-13-2024,82° to 83°,19,0,Lost
CHI,APR-14-2024,82° or above,28,0,Lost
NY,APR-15-2024,76° or above,38,0,Won
CHI,APR-15-2024,75° or above,7,0,Lost
MIA,APR-15-2024,81° to 82°,40,0,Won
CHI,APR-16-2024,71° or above,66,0,Won
NY,APR-17-2024,65° or above,3,0,Lost
CHI,APR-17-2024,70° to 71°,12,0,Won
MIA,APR-17-2024,81° to 82°,15,0,Lost
NY,APR-18-2024,49° to 50°,8,0,Won
CHI,APR-18-2024,61° to 62°,7,0,Lost
MIA,APR-18-2024,82° to 83°,20,0,Lost
NY,APR-19-2024,60° to 61°,3,0,Won
CHI,APR-19-2024,56° to 57°,3,0,Lost
MIA,APR-19-2024,85° to 86°,15,0,Lost
NY,APR-20-2024,68° to 69°,11,0,Lost
CHI,APR-20-2024,52° to 53°,7,0,Lost
MIA,APR-20-2024,87° to 88°,3,0,Lost
CHI,APR-21-2024,58° to 59°,11,0,Won
MIA,APR-21-2024,85° to 86°,15,0,Won
NY,APR-22-2024,66° or above,6,0,Lost
CHI,APR-22-2024,66° to 67°,7,0,Lost
MIA,APR-23-2024,79° to 80°,21,0,Lost
NY,APR-24-2024,69° or above,50,0,Won
CHI,APR-24-2024,49° or above,56,0,Lost
NY,APR-25-2024,61° or above,16,0,Lost
CHI,APR-25-2024,59° to 60°,16,0,Lost
MIA,APR-25-2024,85° or above,3,0,Lost
NY,APR-26-2024,62° to 63°,30,0,Lost
CHI,APR-26-2024,64° to 65°,23,0,Won
MIA,APR-26-2024,83° to 84°,7,0,Won
CHI,APR-27-2024,79° to 80°,15,0,Won
NY,APR-28-2024,76° to 77°,25,0,Lost
CHI,APR-28-2024,72° or below,9,0,Lost
MIA,APR-28-2024,80° to 81°,3,0,Lost
NY,APR-29-2024,83° to 84°,30,0,Lost
CHI,APR-29-2024,75° or above,13,0,Lost
MIA,APR-29-2024,85° or above,3,0,Lost
NY,APR-30-2024,66° or below,8,0,Won
CHI,APR-30-2024,76° or above,32,0,Lost
MIA,APR-30-2024,81° to 82°,12,0,Lost
NY,MAY-01-2024,74° or above,25,0,Won
CHI,MAY-01-2024,74° to 75°,16,0,Lost
NY,MAY-02-2024,84° to 85°,20,0,Lost
CHI,MAY-02-2024,79° or above,61,0,Won
MIA,MAY-02-2024,84° to 85°,6,0,Won
NY,MAY-03-2024,67° to 68°,25,0,Lost
CHI,MAY-03-2024,68° to 69°,34,0,Won
MIA,MAY-03-2024,85° to 86°,41,0,Won
NY,MAY-04-2024,65° to 66°,25,0,Lost
CHI,MAY-04-2024,79° or above,66,0,Won
MIA,MAY-04-2024,85° to 86°,6,0,Won
NY,MAY-05-2024,57° to 58°,23,0,Lost
CHI,MAY-05-2024,63° to 64°,33,0,Lost
MIA,MAY-05-2024,85° to 86°,43,0,Won
NY,MAY-06-2024,72° or below,3,0,Lost
CHI,MAY-06-2024,71° to 72°,32,0,Won
MIA,MAY-06-2024,85° to 86°,37,0,Won
NY,MAY-07-2024,79° to 80°,22,0,Won
CHI,MAY-07-2024,74° to 75°,31,0,Lost
MIA,MAY-07-2024,87° to 88°,20,0,Lost
NY,MAY-08-2024,84° or above,41,0,Won
CHI,MAY-08-2024,79° to 80°,29,0,Lost
MIA,MAY-08-2024,90° or above,12,0,Lost
NY,MAY-09-2024,73° to 74°,3,0,Lost
CHI,MAY-09-2024,62° or above,55,0,Won
MIA,MAY-09-2024,88° to 89°,17,0,Lost
NY,MAY-10-2024,57° to 58°,3,0,Lost
CHI,MAY-10-2024,66° to 67°,11,0,Lost
MIA,MAY-10-2024,93° to 94°,30,0,Won
NY,MAY-11-2024,62° to 63°,22,0,Lost
CHI,MAY-11-2024,71° or above,22,0,Won
MIA,MAY-11-2024,95° to 96°,41,0,Lost
NY,MAY-12-2024,55° to 56°,19,0,Lost
CHI,MAY-12-2024,82° to 83°,11,0,Lost
MIA,MAY-12-2024,91° to 92°,29,0,Won
NY,MAY-13-2024,72° or above,30,0,Lost
CHI,MAY-13-2024,81° or above,58,0,Won
MIA,MAY-13-2024,89° to 90°,52,0,Won
NY,MAY-14-2024,75° to 76°,34,0,Lost
CHI,MAY-14-2024,62° or above,21,0,Won
MIA,MAY-14-2024,92° or above,12,0,Lost
NY,MAY-15-2024,64° or below,18,0,Won
CHI,MAY-15-2024,67° to 68°,32,0,Lost
MIA,MAY-15-2024,97° to 98°,7,0,Lost
NY,MAY-16-2024,65° to 66°,29,0,Lost
CHI,MAY-16-2024,80° or above,11,0,Lost
MIA,MAY-16-2024,97° or above,11,0,Lost
NY,MAY-17-2024,74° to 75°,14,0,Lost
CHI,MAY-17-2024,77° or above,51,0,Won
MIA,MAY-17-2024,93° to 94°,34,0,Won
NY,MAY-18-2024,70° to 71°,17,0,Lost
CHI,MAY-18-2024,86° to 87°,33,0,Won
MIA,MAY-18-2024,92° to 93°,27,0,Lost
NY,MAY-19-2024,73° to 74°,27,0,Lost
CHI,MAY-19-2024,77° to 78°,25,0,Won
MIA,MAY-19-2024,89° to 90°,1,0,Lost
NY,MAY-20-2024,75° to 76°,29,0,Lost
CHI,MAY-20-2024,83° to 84°,2,0,Lost
MIA,MAY-20-2024,90° to 91°,28,0,Lost
NY,MAY-21-2024,81° to 82°,22,0,Lost
CHI,MAY-21-2024,89° to 90°,15,0,Lost
MIA,MAY-21-2024,89° to 90°,31,0,Lost
NY,MAY-22-2024,87° to 88°,6,0,Lost
CHI,MAY-22-2024,80° or above,11,0,Won
MIA,MAY-22-2024,90° to 91°,1,0,Lost
NY,MAY-23-2024,81° to 82°,34,0,Lost
CHI,MAY-23-2024,81° to 82°,28,0,Lost
MIA,MAY-23-2024,91° to 92°,20,0,Lost
NY,MAY-24-2024,83° to 84°,15,0,Won
CHI,MAY-24-2024,83° to 84°,20,0,Lost
MIA,MAY-24-2024,91° to 92°,6,0,Won
NY,MAY-25-2024,78° to 79°,18,0,Lost
CHI,MAY-25-2024,73° to 74°,21,0,Won
MIA,MAY-25-2024,92° to 93°,22,0,Won
NY,MAY-26-2024,81° to 82°,29,0,Won
CHI,MAY-26-2024,73° to 74°,24,0,Lost
MIA,MAY-26-2024,93° to 94°,20,0,Lost
NY,MAY-27-2024,70° or below,16,0,Lost
CHI,MAY-27-2024,74° to 75°,29,0,Won
MIA,MAY-27-2024,94° to 95°,25,0,Lost
NY,MAY-28-2024,80° to 81°,28,0,Lost
CHI,MAY-28-2024,71° to 72°,20,0,Lost
MIA,MAY-28-2024,93° to 94°,45,0,Lost
NY,MAY-29-2024,76° to 77°,28,0,Won
CHI,MAY-29-2024,65° to 66°,19,0,Lost
MIA,MAY-29-2024,94° to 95°,41,0,Won
NY,MAY-30-2024,71° to 72°,6,0,Won
CHI,MAY-30-2024,72° to 73°,18,0,Lost
MIA,MAY-30-2024,91° to 92°,7,0,Lost
NY,MAY-31-2024,75° to 76°,15,0,Won
CHI,MAY-31-2024,79° to 80°,26,0,Lost
MIA,MAY-31-2024,91° to 92°,45,0,Lost
NY,JUN-01-2024,82° to 83°,30,0,Won
CHI,JUN-01-2024,70° to 71°,16,0,Lost
MIA,JUN-01-2024,87° to 88°,36,0,Won
NY,JUN-02-2024,85° to 86°,1,0,Lost
MIA,JUN-02-2024,86° to 87°,48,0,Won
NY,JUN-03-2024,82° to 83°,30,0,Lost
CHI,JUN-03-2024,88° or above,21,0,Won
MIA,JUN-03-2024,87° to 88°,30,0,Won
NY,JUN-04-2024,80° to 81°,10,0,Lost
CHI,JUN-04-2024,89° or above,26,0,Lost
MIA,JUN-04-2024,88° to 89°,15,0,Won
NY,JUN-05-2024,78° to 79°,29,0,Won
CHI,JUN-05-2024,82° to 83°,29,0,Lost
MIA,JUN-05-2024,91° to 92°,31,0,Lost
NY,JUN-06-2024,82° to 83°,18,0,Lost
CHI,JUN-06-2024,77° to 78°,25,0,Lost
MIA,JUN-06-2024,92° or above,14,0,Won
NY,JUN-07-2024,82° to 83°,26,0,Won
MIA,JUN-07-2024,91° to 92°,15,0,Lost
NY,JUN-08-2024,78° to 79°,35,0,Lost
CHI,JUN-08-2024,75° to 76°,23,0,Lost
MIA,JUN-08-2024,90° to 91°,15,0,Won
NY,JUN-09-2024,78° to 79°,36,0,Lost
CHI,JUN-09-2024,81° or above,32,0,Won
MIA,JUN-09-2024,90° to 91°,14,0,Lost
NY,JUN-10-2024,74° to 75°,35,0,Won
CHI,JUN-10-2024,68° to 69°,34,0,Won
MIA,JUN-10-2024,92° to 93°,20,0,Lost
NY,JUN-11-2024,73° or below,38,0,Won
CHI,JUN-11-2024,78° to 79°,25,0,Won
MIA,JUN-11-2024,85° to 86°,38,0,Won
NY,JUN-12-2024,76° to 77°,7,0,Won
CHI,JUN-12-2024,92° to 93°,23,0,Won
MIA,JUN-12-2024,84° to 85°,52,0,Won
NY,JUN-13-2024,83° to 84°,18,0,Won
CHI,JUN-13-2024,91° to 92°,25,0,Won
MIA,JUN-13-2024,86° to 87°,7,0,Won
NY,JUN-14-2024,84° to 85°,20,0,Won
CHI,JUN-14-2024,85° or above,12,0,Won
NY,JUN-15-2024,78° to 79°,20,0,Lost
CHI,JUN-15-2024,87° or above,44,0,Lost
MIA,JUN-15-2024,86° to 87°,36,0,Lost
NY,JUN-16-2024,77° to 78°,25,0,Won
CHI,JUN-16-2024,95° to 96°,25,0,Won
MIA,JUN-16-2024,88° to 89°,30,0,Lost
NY,JUN-17-2024,84° to 85°,24,0,Lost
CHI,JUN-17-2024,97° to 98°,28,0,Won
MIA,JUN-17-2024,89° to 90°,25,0,Won
NY,JUN-18-2024,86° to 87°,29,0,Won
CHI,JUN-18-2024,93° to 94°,27,0,Lost
MIA,JUN-18-2024,91° or above,16,0,Lost
NY,JUN-19-2024,89° to 90°,5,0,Won
CHI,JUN-19-2024,92° to 93°,4,0,Lost
MIA,JUN-19-2024,89° to 90°,15,0,Won
NY,JUN-20-2024,91° to 92°,29,0,Won
CHI,JUN-20-2024,90° to 91°,27,0,Lost
MIA,JUN-20-2024,88° to 89°,34,0,Won
NY,JUN-21-2024,96° or above,13,0,Lost
CHI,JUN-21-2024,92° to 93°,21,0,Lost
MIA,JUN-21-2024,90° to 91°,25,0,Won
NY,JUN-22-2024,92° to 93°,25,0,Won
CHI,JUN-22-2024,94° to 95°,27,0,Won
MIA,JUN-22-2024,89° to 90°,30,0,Won
NY,JUN-23-2024,91° to 92°,20,0,Won
CHI,JUN-23-2024,82° to 83°,30,0,Won
MIA,JUN-23-2024,87° to 88°,30,0,Won
NY,JUN-24-2024,82° to 83°,30,0,Lost
CHI,JUN-24-2024,86° to 87°,26,0,Lost
NY,JUN-25-2024,93° to 94°,3,0,Lost
CHI,JUN-25-2024,93° or above,22,0,Lost
MIA,JUN-25-2024,90° to 91°,16,0,Lost
NY,JUN-26-2024,92° or above,40,0,Won
CHI,JUN-26-2024,83° to 84°,28,0,Lost
MIA,JUN-26-2024,91° to 92°,19,0,Won
NY,JUN-27-2024,82° to 83°,14,0,Lost
CHI,JUN-27-2024,72° to 73°,27,0,Won
MIA,JUN-27-2024,91° to 92°,35,0,Lost
NY,JUN-28-2024,80° to 81°,1,0,Lost
CHI,JUN-28-2024,84° to 85°,15,0,Lost
MIA,JUN-28-2024,92° to 93°,51,0,Won
NY,JUN-29-2024,78° to 79°,36,0,Won
CHI,JUN-29-2024,92° or above,33,0,Lost
MIA,JUN-29-2024,91° to 92°,38,0,Won
NY,JUN-30-2024,87° to 88°,28,0,Lost
CHI,JUN-30-2024,72° to 73°,25,0,Won
MIA,JUN-30-2024,89° to 90°,44,0,Lost
NY,JUL-01-2024,80° to 81°,33,0,Won
CHI,JUL-01-2024,77° to 78°,32,0,Lost
MIA,JUL-01-2024,88° to 89°,29,0,Won
NY,JUL-02-2024,84° to 85°,36,0,Lost
CHI,JUL-02-2024,86° to 87°,30,0,Won
MIA,JUL-02-2024,89° to 90°,36,0,Lost
NY,JUL-03-2024,84° to 85°,5,0,Lost
CHI,JUL-03-2024,89° to 90°,25,0,Won
MIA,JUL-03-2024,92° to 93°,28,0,Lost
NY,JUL-04-2024,86° to 87°,29,0,Lost
CHI,JUL-04-2024,88° or above,49,0,Lost
MIA,JUL-04-2024,92° to 93°,47,0,Won
NY,JUL-05-2024,85° to 86°,19,0,Lost
CHI,JUL-05-2024,82° to 83°,16,0,Lost
MIA,JUL-05-2024,94° or above,35,0,Lost
NY,JUL-06-2024,90° to 91°,7,0,Lost
CHI,JUL-06-2024,80° to 81°,25,0,Won
MIA,JUL-06-2024,94° or above,7,0,Lost
NY,JUL-07-2024,93° to 94°,17,0,Won
CHI,JUL-07-2024,87° to 88°,31,0,Lost
MIA,JUL-07-2024,94° or above,15,0,Lost
NY,JUL-08-2024,92° to 93°,28,0,Lost
CHI,JUL-08-2024,85° to 86°,32,0,Lost
MIA,JUL-08-2024,94° to 95°,36,0,Lost
NY,JUL-09-2024,92° to 93°,34,0,Lost
CHI,JUL-09-2024,84° to 85°,8,0,Lost
MIA,JUL-09-2024,92° to 93°,18,0,Won
